transportmean_name,line_number,order_number,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
METRO,3,3_9,par_4_45,45,PALOS DE LA FRONTERA,Calle de Palos de la Frontera 33,40.40307,-3.69423,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,3,3_10,par_4_46,46,EMBAJADORES,Gta de Embajadores 10,40.40513,-3.7026800000000004,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,3,3_11,par_4_47,47,LAVAPIES,Plaza de Lavapiés 7,40.40851,-3.7009,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,3,3_12,par_4_12,12,SOL,Plaza de la Puerta del Sol 6,40.41688,-3.7032599999999998,A,http://www.crtm.es,0,est_90_58,,1
METRO,3,3_13,par_4_49,49,CALLAO,Plaza del Callao 3,40.42014,-3.70566,A,http://www.crtm.es,0,est_4_49,Europe/Madrid,2
METRO,3,3_14,par_4_50,50,PLAZA DE ESPANA,Plaza de España 1,40.42342,-3.7112,A,http://www.crtm.es,0,est_4_50,Europe/Madrid,2
METRO,3,3_15,par_4_51,51,VENTURA RODRIGUEZ,Calle de la Princesa 22,40.42709,-3.7134099999999997,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,3,3_16,par_4_52,52,ARGUELLES,Calle de Alberto Aguilera 72,40.430659999999996,-3.71596,A,http://www.crtm.es,0,est_4_52,Europe/Madrid,0
METRO,3,3_17,par_4_53,53,MONCLOA,Plaza de la Moncloa 1,40.43502,-3.71945,A,http://www.crtm.es,0,est_90_14,,2
METRO,4,4_0,par_4_52,52,ARGUELLES,Calle de Alberto Aguilera 72,40.430659999999996,-3.71596,A,http://www.crtm.es,0,est_4_52,Europe/Madrid,0
METRO,4,4_1,par_4_39,39,SAN BERNARDO,Calle de San Bernardo 94,40.430009999999996,-3.70557,A,http://www.crtm.es,0,est_4_39,Europe/Madrid,0
METRO,4,4_2,par_4_9,9,BILBAO,Calle de Sagasta 2,40.42906,-3.7021800000000002,A,http://www.crtm.es,0,est_4_9,Europe/Madrid,0
METRO,4,4_3,par_4_57,57,ALONSO MARTINEZ,Plaza de Alonso Martínez 4,40.42772,-3.6959400000000002,A,http://www.crtm.es,0,est_4_57,Europe/Madrid,0
METRO,4,4_4,par_4_58,58,COLON,Plaza de Colón 2,40.42542,-3.69101,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,4,4_5,par_4_59,59,SERRANO,Calle de Goya 19,40.42543,-3.68663,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,4,4_6,par_4_60,60,VELAZQUEZ,Calle de Núñez de Balboa 33,40.42503,-3.6829199999999997,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,4,4_7,par_4_30,30,GOYA,Calle de Alcalá 96,40.42455,-3.67591,A,http://www.crtm.es,0,est_4_30,Europe/Madrid,2
METRO,4,4_8,par_4_62,62,LISTA,Calle del Conde de Peñalver 45,40.42917,-3.67541,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,4,4_9,par_4_63,63,DIEGO DE LEON,Calle de Diego de León 69,40.43468,-3.67495,A,http://www.crtm.es,0,est_4_63,Europe/Madrid,0
METRO,4,4_10,par_4_64,64,AVENIDA DE AMERICA,Avda de América 9 A,40.43803,-3.6766400000000004,A,http://www.crtm.es,0,est_90_4,,0
METRO,4,4_11,par_4_65,65,PROSPERIDAD,Plaza de la Prosperidad 4,40.44419,-3.6748199999999995,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,4,4_12,par_4_66,66,ALFONSO XIII,Calle de López de Hoyos 190,40.44825,-3.66791,A,http://www.crtm.es,0,,Europe/Madrid,0
